NNN	timestamp	type	actor	metric	delta	status	description	linked_files
010	2026-05-03T16:15:00Z	analysis	enum-agent	-	-	done	C-011 enumeration — 1,661 (a,b,L,K) tuples in tight scope; 100% predicted/observed match; 41 yield cycles covering 57/153 (37.3%) of atlas	log/010-research-c011-enumeration.md,autoresearch/archive/010-enumerate.py,autoresearch/archive/010-c011-tuples.parquet,autoresearch/archive/010-summary.md
011	2026-05-03T16:25:00Z	analysis	main	-	-	done	C-011 full coverage check at unbounded (L,K) — all 64 primitive atlas cycles satisfy b|(2^K-a^L); combined with 89 inherited = full closed-form decomposition of 153-cycle atlas	log/011-research-c011-full-coverage.md,atlas.py
012	2026-05-03T16:42:00Z	research	sweep-agent	-	-	done	wider-b sweep b∈{23..51} odd — 6M trajectories; C-001 confirmed (3 attempts); C-007′ confirmed; C-011 96/96 primitive cycles; C-003 weakened (8/15 b values rigid); C-009 fails at a=1	log/012-research-wider-b-sweep.md,autoresearch/archive/012-sweep.py,autoresearch/archive/012-results.parquet,autoresearch/archive/012-cycles.parquet,autoresearch/archive/012-summary.md
015	2026-05-03T16:50:00Z	analysis	main	-	-	done	verified (7,31) 4 parallel primitive cycles all at L=6 K=17 m=433 — C-011 m>1 worked example complementing C-008's m=1 case	log/015-research-7-31-parallel-cycles.md
016	2026-05-03T17:05:00Z	research	sweep-agent	-	-	done	wider-a sweep a∈{9,11,13} — divergence fractions 0.045%/0.035%/0.016%; C-001 dichotomy confirmed (4 attempts); C-011 11/11 primitive; total 171/171 across 137 variants	log/016-research-wider-a-sweep.md,autoresearch/archive/016-sweep.py,autoresearch/archive/016-results.parquet,autoresearch/archive/016-cycles.parquet,autoresearch/archive/016-summary.md
017	2026-05-03T17:25:00Z	analysis	residue-agent	-	-	done	C-013 systematic — 34/34 cells r>0.7 at k=4; median r=0.833. First-step h is universal predictor; multi-step does NOT improve (random higher-bit correction). Sharp basin-structure finding for divergent regime	log/017-research-residue-basin-structure.md,autoresearch/archive/017-analyze.py,autoresearch/archive/017-residue-lift.parquet,autoresearch/archive/017-summary.md
018	2026-05-03T17:35:00Z	analysis	main	-	-	done	C-013 wider-b verification — 29/30 cells r>0.7; median r=0.846. Total across two scopes: 63/64 non-degenerate cells confirm correlation. Genuinely robust empirical pattern.	-
020	2026-05-03T17:50:00Z	analysis	main	-	-	done	trap-basin mechanism — (3,1) trap-basins are 14% slower; (5,1) trap-basins are 3.6x lower convergence rate. Drift-sign (μ=log_2(a)-E[h]) determines whether traps are transiently slow or absorbing. Unifies C-001 with C-013.	log/020-research-trap-basin-mechanism.md
019	2026-05-03T18:00:00Z	analysis	alpha-agent	-	-	done	α(a,b) analytic derivation — Pearson r=0.84 with random-walk theory; median ratio 0.6 systematic bias (likely h-autocorrelation). Var(h)=2.000 confirmed exact. Basin oscillates wildly at high k for divergent (5,1) but → 100% for convergent (3,1).	log/019-research-alpha-analytic.md,autoresearch/archive/019-analyze.py,autoresearch/archive/019-alpha-fits.parquet,autoresearch/archive/019-basin-volumes.parquet,autoresearch/archive/019-summary.md
021	2026-05-03T18:05:00Z	analysis	main	-	-	done	high-k basin probe — (3,1) basin → 100% monotonically; (5,1) wildly non-monotone; (7,1) shrinks toward 0. Suggests asymptotic basin dichotomy: convergent (a,b) → full basin; divergent → vanishing basin.	-
022	2026-05-03T18:15:00Z	analysis	autocorr-agent	-	-	done	h-autocorrelation falsification — ρ_1 ≈ 0 across cells. h_t is exact iid Geom(1/2) along trajectories. The 0.6× α factor is NOT from autocorrelation.	autoresearch/archive/022-autocorrelation.parquet,autoresearch/archive/022-summary.md,autoresearch/archive/022-simulate.py
023	2026-05-03T18:30:00Z	analysis	main+sub	-	-	done	C-014 strong falsified ((9,1) basin 99.6% but f=0%); α regression gap WIDENS at k=6 not narrows; new C-015 power law f∝S^{-c(a,b)} with c(5)=0.36, c(7)=0.67, ..., c(13)=0.80 and Pearson(c,μ)=0.982	log/023-research-basin-and-power-law.md,autoresearch/archive/023-analyze.py,autoresearch/archive/023-basin-highk.parquet,autoresearch/archive/023-alpha-diagnostics.parquet,autoresearch/archive/023-summary.md
024	2026-05-03T18:50:00Z	research	main	-	-	done	S=10^6 verification of C-015 — 22/22 cells within ±20% of predicted f(10^6); median ratio 0.975; ZERO new cycles at S=10^6 (atlas empirically complete). C-015 is rock-solid across S∈{10^4, 10^5, 10^6}.	log/024-research-S1e6-c015-verification.md,autoresearch/archive/024-sweep.py,autoresearch/archive/024-results.parquet,autoresearch/archive/024-cycles.parquet,autoresearch/archive/024-summary.md
025	2026-05-03T18:55:00Z	analysis	main	-	-	done	c(a)=(a-4)/(a-2) closed-form fit with RMSE 0.053; convergent regime stopping time τ(n_0)≈log_2(n_0)/|μ_T| with slope 7 for a=3 and 1.5 for a=1, matching theory	log/025-research-c016-stopping-time.md
026	2026-05-03T19:00:00Z	analysis	wider-b-agent	-	-	done	C-015 wider-b verification — a=5 mean c=0.341 (matches), a=7 mean c=0.650 (matches). Pearson(b,c)≈0 — c is b-independent. C-015 generalizes across 65 cells.	autoresearch/archive/026-c015-wider.parquet,autoresearch/archive/026-summary.md,autoresearch/archive/026-analyze.py
027	2026-05-03T19:05:00Z	analysis	main	-	-	done	a∈{15,17,19} probe — c(15)=0.735 vs predicted 0.846 (residual -0.11). Formula starts breaking for very large a where convergent samples drop below 50. Trend continues but with noise.	-
028	2026-05-03T19:15:00Z	analysis	main	-	-	done	C-013 multi-step refinement — log(lift)≈α·Σh_i over first K steps; r=0.98 at K=4 for (5,1). α independent of K (~0.22 for a=5). Resolves action 023 "multi-step doesn't help" — the right formulation uses each h_i as separate predictor.	log/028-research-c013-multistep.md
029	2026-05-03T19:30:00Z	analysis	multistep-agent	-	-	done	systematic multi-step verification — α stable per step (median std=0.01); α_4(a=5)=0.36, α_4(a=7)=0.78; ratio α_emp/α_RW ≈ 0.7-0.8 (improving from 0.6); Pearson R≥0.96 at K=4. α empirically ≈ c — striking numerical match.	log/029-research-multistep-systematic.md,autoresearch/archive/029-analyze.py,autoresearch/archive/029-multistep.parquet,autoresearch/archive/029-summary.md
030	2026-05-03T19:50:00Z	analysis	main	-	-	done	individual-seed logistic regression closes α_RW gap! (7,1) α=1.14 vs theory 1.16 (2% match); (5,9) α=0.45 vs 0.465 (3%); (5,13) within 1%. The 0.6-0.8× factor was binned-lift artifact. Random-walk α = 2μ/(σ²·ln 2) is exact. AUC 0.72-0.99.	log/030-research-logistic-alpha.md
031	2026-05-03T20:00:00Z	analysis	main	-	-	done	C-016 wider-b verification — a=1 slopes essentially exactly 1.50 across 14 cells (within 0.5%); a=3 slopes within 4% of predicted 7.24. Random-walk τ formula confirmed broadly.	-
032	2026-05-03T20:15:00Z	analysis	main	-	-	done	C-006″ refined for composite λ — rad(λ)|rad(a) is the right condition (not gcd>1). (3,45,λ=15) gcd=3>1 but rad(15)∤rad(3) → only 14% attractive. (3,27,λ=9) rad|rad ✓ → 100%. Composite-λ generalization tested.	-
033	2026-05-03T20:25:00Z	analysis	main	-	-	done	C-006″ rad-condition more tests — (21,45,*) all 4 predictions match: λ=3 attractive (rad|rad), λ=5 not (gcd=1), λ=9 attractive (rad|rad), λ=15 not (rad ∤). Plus analytic proof via residue mult by units in (Z/pZ)*.	-
034	2026-05-03T20:35:00Z	analysis	main	-	-	done	C-015 a=15 cleaner sample — mean c=0.788 across 4 cells (range 0.757-0.816); (a-4)/(a-2)=0.846; residual -0.058. Formula slightly overestimates at a=15 but trend continues. (3,5)/(5,9) cycle landing per residue mod 5: 5Z→inherited cycle, deterministic.	-
035	2026-05-03T20:45:00Z	analysis	main	-	-	done	C-015 within-row outlier analysis — Pearson(b, c) ≈ -0.25 within each a-row when combining tight+wider (n=26). Larger composite b → more cycles → larger basin → smaller c. Outliers at b prime/prime-power. Plus C-011 m>1 verified for (3,17): m=7 filters compositions correctly.	-
036	2026-05-03T21:00:00Z	analysis	main	-	-	done	Tractable cousins ranked: (5,45) 20.5% top (b=3²·5, multi-inherited via C-007′); (5,35) 16.6%; (5,9) 12.4%. Cells with gcd(a,b)>1 dominate — connects to C-006″ forward-attractivity. (5,45) is best tractable cousin in scope, much higher than classical 5x+1 (3%).	-
037	2026-05-03T21:10:00Z	analysis	main	-	-	done	(5, 45) cycle structure: ALL 10 cycles in 5Z (gcd ∈ {5,15,45}). Mechanism: gcd(5,45)=5 → 5Z forward-attractive (C-006″) → all seeds reach 5Z where dynamics ≡ T_{5,9}. Combined with (5,9)'s rich structure → 20.5% convergence.	-
038	2026-05-03T21:15:00Z	analysis	main	-	-	done	Framework predictions for (5, 75) and (5, 105) — both have 5|b and elevated convergence (9-11%) as predicted by gcd>1 + inheritance mechanism. c values match (a-4)/(a-2)=0.333 within 5%. Validates framework for new b values beyond scope.	-
039	2026-05-03T21:25:00Z	analysis	main	-	-	done	Counterexample test: (9, 3) has gcd=3 (3Z attractive) but f5=0! Because on 3Z dynamics ≡ T_{9,1} which has NO primitive cycles per C-011. Refines tractable-cousin recipe: BOTH gcd>1 AND recursive cell has cycles needed.	-
040	2026-05-03T21:35:00Z	analysis	main	-	-	done	Exotic cells test: (7,49) c=0.58 vs predicted 0.60 ✓; (13,65) f5=0 (recursive (13,5) has no small cycles, validating recipe); (15,*) cells show c well below (a-4)/(a-2)=0.846 — formula breaks at large a. Framework directionally correct, formula bounds verified.	-
041	2026-05-03T21:45:00Z	analysis	main	-	-	done	Composite a tests: a∈{21,25,27,81} mostly NO convergence even with gcd>1 — recursive base cells lack small cycles. (25,7) m=1 cell has cycle {1,2,4,8,16,32} but only 0.017% convergence (divergence dominates). Many m=1 cells exist (e.g. (a, 2^K-a) at L=1).	-
042	2026-05-03T21:55:00Z	analysis	main	-	-	done	m=1 cells inventory: (3,1), (3,5), (3,7), (3,13), (3,47), (5,3), (5,7), (5,11), (5,27), (7,1), (7,9), (7,15), (9,7), (9,47), (11,5), (11,7), (11,21), (13,3), (15,1), (21,11), (25,7), (27,5). (3,13) has TWO m=1 tuples [(1,4) and (5,8)] explaining its iconic cycle richness.	-
043	2026-05-03T22:00:00Z	analysis	main	-	-	done	(3, 47) is another iconic tractable cousin: 100% convergence + 8 cycles (5 primitive at L=4 K=7 cycle_len=11 from C-011 m=1; plus larger primitives at len 25, 44; plus inherited b-fixed at len 3). Comparable richness to (3, 13).	-
013	2026-05-03T16:55:00Z	analysis	struct-agent	-	-	done	n_new(a=1, b) closed form — driven by ord_b(2) divisor lattice + Burnside; 11/11 match; falsified 2-adic hypothesis; promoted as C-012	log/013-research-n-new-structure.md,autoresearch/archive/013-n_new_structure.py,autoresearch/archive/013-summary.md
014	2026-05-03T16:35:00Z	analysis	main	-	-	done	closed-form proof of C-011 necessity for b odd via gcd propagation — primitive cycle ⟹ gcd(m_0,b)=1 ⟹ b|(2^K-a^L)	log/014-research-c011-necessity.md,autoresearch/archive/014-c011-necessity-proof.md
044	2026-05-03T22:10:00Z	research	main	-	-	done	Three "double-m=1" cells {(3,5),(3,13),(5,3)} found via systematic Pillai-equation enumeration (a≤199, K≤99, L≤39). C-017 conjectured. Connection between Pillai/Mihăilescu finiteness and C-011 cycle classification.	log/044-research-double-m1-cells.md
045	2026-05-03T22:20:00Z	research	main	-	-	done	Catalan family C-018 discovered: (3, b=2^{2L-1}-3^L) admits exactly C_{L-1} primitive cycles. Verified L=3..8 via sweep (2,5,14,42,132,429). Burnside-Catalan proof clean. Headline new finding.	log/045-research-catalan-family.md
046	2026-05-03T22:35:00Z	research	main	-	-	done	Catalan family L=9 verified: (3, 111389) → 1430 cycles at length 26 = C_8. Seven consecutive Catalan numbers (2,5,14,42,132,429,1430). Corrected arithmetic error in 045 (113213 → 111389).	log/046-research-catalan-l9-verify.md,autoresearch/archive/046-catalan-l9-verify.py
047	2026-05-03T22:50:00Z	research	main	-	-	done	General m=1 cycle-count theorem C-019: for any (a, K, L) with gcd(K,L)=1 and 2^K>a^L odd a≥3, the cell (a, b=2^K-a^L) has C(K-1,L-1)/L primitive cycles of length K+L. Verified 42/42 cells across a∈{3,5,7}. Catalan families are diagonals K=2L±1. Lyndon-word ↔ primitive Collatz cycle bijection.	log/047-research-general-mequal1-theorem.md,autoresearch/archive/047-general-lattice.py,autoresearch/archive/047-catalan-k-2lp1.py
048	2026-05-03T23:10:00Z	research	main	-	-	done	C-019 strengthened to FULL Lyndon-word form: cycle count = (1/L)·Σ_{d|gcd(K,L)} μ(d)·C(K/d-1,L/d-1) = binary Lyndon words of length K with L ones. Verified gcd>1 cells across a∈{3,5,7}. Total now 59/59 cells verified across gcd∈{1,2,3,4,5,6}. Complete characterization of m=1 hypersurface.	log/048-research-lyndon-full-theorem.md,autoresearch/archive/048-lyndon-full-lattice.py
